GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
QBit WMS,com.kingsrook.qbits.wms.tasks.processes,ReprioritizeTaskProcessMetaDataProducer,0,86,0,0,0,20,0,2,0,2
QBit WMS,com.kingsrook.qbits.wms.tasks.processes,CompleteTaskStep,76,0,6,0,14,0,7,0,4,0
QBit WMS,com.kingsrook.qbits.wms.tasks.processes,ReleaseTaskProcessMetaDataProducer,0,76,0,0,0,19,0,2,0,2
QBit WMS,com.kingsrook.qbits.wms.tasks.processes,PauseTaskProcessMetaDataProducer,0,84,0,0,0,20,0,2,0,2
QBit WMS,com.kingsrook.qbits.wms.tasks.processes,ReleaseTaskStep,98,7,8,0,20,2,5,2,1,2
QBit WMS,com.kingsrook.qbits.wms.tasks.processes,HoldTaskProcessMetaDataProducer,0,86,0,0,0,20,0,2,0,2
QBit WMS,com.kingsrook.qbits.wms.tasks.processes,PauseTaskStep,125,7,14,0,22,2,8,2,1,2
QBit WMS,com.kingsrook.qbits.wms.tasks.processes,ResumeTaskStep,92,7,8,0,18,2,5,2,1,2
QBit WMS,com.kingsrook.qbits.wms.tasks.processes,CompleteTaskProcessMetaDataProducer,0,207,0,0,0,47,0,2,0,2
QBit WMS,com.kingsrook.qbits.wms.tasks.processes,ReassignTaskProcessMetaDataProducer,0,86,0,0,0,20,0,2,0,2
QBit WMS,com.kingsrook.qbits.wms.tasks.processes,GetNextTaskProcessMetaDataProducer,0,150,0,0,0,28,0,2,0,2
QBit WMS,com.kingsrook.qbits.wms.tasks.processes,CompleteTaskStep.ValidateItemStep,111,3,12,0,23,1,7,1,1,1
QBit WMS,com.kingsrook.qbits.wms.tasks.processes,ReprioritizeTaskStep,107,7,10,0,20,2,6,2,1,2
QBit WMS,com.kingsrook.qbits.wms.tasks.processes,CancelTaskStep,382,7,40,0,72,2,23,2,3,2
QBit WMS,com.kingsrook.qbits.wms.tasks.processes,GetNextTaskStep,237,7,8,0,40,2,5,2,1,2
QBit WMS,com.kingsrook.qbits.wms.tasks.processes,CompleteTaskStep.ExecuteCompletionStep,142,3,16,0,32,1,9,1,1,1
QBit WMS,com.kingsrook.qbits.wms.tasks.processes,CompleteTaskStep.ValidateDestinationStep,47,3,8,0,10,1,5,1,1,1
QBit WMS,com.kingsrook.qbits.wms.tasks.processes,CompleteTaskStep.ValidateSourceStep,70,3,8,0,14,1,5,1,1,1
QBit WMS,com.kingsrook.qbits.wms.tasks.processes,ResumeTaskProcessMetaDataProducer,0,76,0,0,0,19,0,2,0,2
QBit WMS,com.kingsrook.qbits.wms.tasks.processes,CancelTaskProcessMetaDataProducer,0,86,0,0,0,20,0,2,0,2
QBit WMS,com.kingsrook.qbits.wms.tasks.processes,ReassignTaskStep,140,7,18,0,28,2,10,2,1,2
QBit WMS,com.kingsrook.qbits.wms.tasks.processes,StaleTaskCheckStep,172,10,6,0,27,3,4,2,1,2
QBit WMS,com.kingsrook.qbits.wms.tasks.processes,StaleTaskCheckProcessMetaDataProducer,0,30,0,0,0,9,0,2,0,2
QBit WMS,com.kingsrook.qbits.wms.tasks.processes,HoldTaskStep,128,7,16,0,23,2,9,2,1,2
QBit WMS,com.kingsrook.qbits.wms,WmsQBitConfig,0,139,0,4,0,47,0,28,0,26
QBit WMS,com.kingsrook.qbits.wms,WmsQBitProducer,0,32,0,0,0,13,0,6,0,6
QBit WMS,com.kingsrook.qbits.wms.inventory.processes,ApproveCountVarianceStep,592,7,42,0,118,2,25,2,4,2
QBit WMS,com.kingsrook.qbits.wms.inventory.processes,CycleCountProcessMetaDataProducer,0,132,0,0,0,25,0,2,0,2
QBit WMS,com.kingsrook.qbits.wms.inventory.processes,InventoryAdjustmentStep,349,7,24,0,79,2,13,2,1,2
QBit WMS,com.kingsrook.qbits.wms.inventory.processes,InventoryMoveStep,261,7,24,0,56,2,13,2,1,2
QBit WMS,com.kingsrook.qbits.wms.inventory.processes,CycleCountStep,351,7,12,0,72,2,7,2,1,2
QBit WMS,com.kingsrook.qbits.wms.inventory.processes,InventoryReleaseProcessMetaDataProducer,0,106,0,0,0,25,0,2,0,2
QBit WMS,com.kingsrook.qbits.wms.inventory.processes,ApproveCountVarianceProcessMetaDataProducer,0,125,0,0,0,27,0,2,0,2
QBit WMS,com.kingsrook.qbits.wms.inventory.processes,InventoryAdjustmentProcessMetaDataProducer,0,184,0,0,0,33,0,2,0,2
QBit WMS,com.kingsrook.qbits.wms.inventory.processes,InventoryHoldStep,338,7,24,0,69,2,13,2,1,2
QBit WMS,com.kingsrook.qbits.wms.inventory.processes,InventoryMoveProcessMetaDataProducer,0,134,0,0,0,27,0,2,0,2
QBit WMS,com.kingsrook.qbits.wms.inventory.processes,InventoryHoldProcessMetaDataProducer,0,140,0,0,0,28,0,2,0,2
QBit WMS,com.kingsrook.qbits.wms.inventory.processes,InventoryReleaseStep,357,7,26,0,69,2,14,2,1,2
QBit WMS,com.kingsrook.qbits.wms.core.model,WmsLocation,0,237,0,0,0,62,0,59,0,59
QBit WMS,com.kingsrook.qbits.wms.core.model,WmsInventory.TableMetaDataCustomizer,0,124,0,0,0,16,0,2,0,2
QBit WMS,com.kingsrook.qbits.wms.core.model,WmsVendor,0,129,0,0,0,35,0,32,0,32
QBit WMS,com.kingsrook.qbits.wms.core.model,WmsItem,0,345,0,0,0,89,0,86,0,86
QBit WMS,com.kingsrook.qbits.wms.core.model,WmsCycleCount.TableMetaDataCustomizer,0,97,0,0,0,11,0,2,0,2
QBit WMS,com.kingsrook.qbits.wms.core.model,WmsTaskTypeConfig,0,153,0,0,0,41,0,38,0,38
QBit WMS,com.kingsrook.qbits.wms.core.model,WmsLicensePlate,0,117,0,0,0,32,0,29,0,29
QBit WMS,com.kingsrook.qbits.wms.core.model,WmsUnitOfMeasure,0,153,0,0,0,41,0,38,0,38
QBit WMS,com.kingsrook.qbits.wms.core.model,WmsItemCategory,0,81,0,0,0,23,0,20,0,20
QBit WMS,com.kingsrook.qbits.wms.core.model,WmsCycleCountLine,0,177,0,0,0,47,0,44,0,44
QBit WMS,com.kingsrook.qbits.wms.core.model,WmsInventoryHold,0,189,0,0,0,50,0,47,0,47
QBit WMS,com.kingsrook.qbits.wms.core.model,WmsTask,0,501,0,0,0,128,0,125,0,125
QBit WMS,com.kingsrook.qbits.wms.core.model,WmsInventory,0,273,0,0,0,71,0,68,0,68
QBit WMS,com.kingsrook.qbits.wms.core.model,WmsClient,0,153,0,0,0,41,0,38,0,38
QBit WMS,com.kingsrook.qbits.wms.core.model,WmsInventoryTransaction,0,249,0,0,0,65,0,62,0,62
QBit WMS,com.kingsrook.qbits.wms.core.model,WmsWarehouse,0,165,0,0,0,44,0,41,0,41
QBit WMS,com.kingsrook.qbits.wms.core.model,WmsWarehouse.TableMetaDataCustomizer,0,88,0,0,0,12,0,2,0,2
QBit WMS,com.kingsrook.qbits.wms.core.model,WmsTask.TableMetaDataCustomizer,0,169,0,0,0,23,0,2,0,2
QBit WMS,com.kingsrook.qbits.wms.core.model,WmsZone.TableMetaDataCustomizer,0,66,0,0,0,8,0,2,0,2
QBit WMS,com.kingsrook.qbits.wms.core.model,WmsLocation.TableMetaDataCustomizer,0,100,0,0,0,12,0,2,0,2
QBit WMS,com.kingsrook.qbits.wms.core.model,WmsItem.TableMetaDataCustomizer,0,155,0,0,0,18,0,2,0,2
QBit WMS,com.kingsrook.qbits.wms.core.model,WmsCycleCount,0,153,0,0,0,41,0,38,0,38
QBit WMS,com.kingsrook.qbits.wms.core.model,WmsZone,0,117,0,0,0,32,0,29,0,29
QBit WMS,com.kingsrook.qbits.wms.widgets,ActiveWorkersRenderer,251,3,14,0,36,1,8,1,1,1
QBit WMS,com.kingsrook.qbits.wms.widgets,InventoryAccuracyWidgetProducer,0,50,0,0,0,17,0,2,0,2
QBit WMS,com.kingsrook.qbits.wms.widgets,WorkerProductivityWidgetProducer,0,42,0,0,0,16,0,2,0,2
QBit WMS,com.kingsrook.qbits.wms.widgets,LowStockAlertsRenderer,277,3,18,0,46,1,10,1,1,1
QBit WMS,com.kingsrook.qbits.wms.widgets,TaskAgingWidgetProducer,0,50,0,0,0,17,0,2,0,2
QBit WMS,com.kingsrook.qbits.wms.widgets,InventorySummaryWidgetProducer,0,50,0,0,0,17,0,2,0,2
QBit WMS,com.kingsrook.qbits.wms.widgets,TaskQueueSummaryWidgetProducer,0,50,0,0,0,17,0,2,0,2
QBit WMS,com.kingsrook.qbits.wms.widgets,LowStockAlertsWidgetProducer,0,42,0,0,0,16,0,2,0,2
QBit WMS,com.kingsrook.qbits.wms.widgets,InventorySummaryRenderer,217,3,18,0,40,1,10,1,1,1
QBit WMS,com.kingsrook.qbits.wms.widgets,ActiveWorkersWidgetProducer,0,42,0,0,0,16,0,2,0,2
QBit WMS,com.kingsrook.qbits.wms.widgets,TaskAgingRenderer,235,3,14,0,43,1,8,1,1,1
QBit WMS,com.kingsrook.qbits.wms.widgets,TaskQueueSummaryRenderer,241,11,14,0,44,2,9,2,2,2
QBit WMS,com.kingsrook.qbits.wms.widgets,WorkerProductivityRenderer,259,3,14,0,45,1,8,1,1,1
QBit WMS,com.kingsrook.qbits.wms.widgets,WmsDashboardMetaDataProducer,0,25,0,0,0,6,0,2,0,2
QBit WMS,com.kingsrook.qbits.wms.widgets,InventoryAccuracyRenderer,183,3,12,0,33,1,7,1,1,1
QBit WMS,com.kingsrook.qbits.wms.core.enums,ReturnAuthorizationStatus,0,118,0,6,0,22,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,InspectionGrade,0,100,0,6,0,20,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,DockAppointmentType,0,73,0,6,0,17,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,BillingActivityType,0,172,0,6,0,28,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,TaskStatus,0,127,0,6,0,23,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,ManifestStatus,0,82,0,6,0,18,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,ReturnReasonCode,0,109,0,6,0,21,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,ShippingMode,0,82,0,6,0,18,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,ZoneType,0,145,0,6,0,25,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,CycleCountStatus,0,100,0,6,0,20,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,ConditionCode,0,82,0,6,0,18,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,LocationType,0,109,0,6,0,21,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,BillingRateCardStatus,0,82,0,6,0,18,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,InvoiceStatus,0,109,0,6,0,21,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,KitWorkOrderType,0,73,0,6,0,17,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,DockAppointmentStatus,0,109,0,6,0,21,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,HoldType,0,118,0,6,0,22,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,TaskType,0,145,0,6,0,25,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,Disposition,0,109,0,6,0,21,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,VelocityClass,0,82,0,6,0,18,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,ReceiptStatus,0,91,0,6,0,19,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,WaveType,0,91,0,6,0,19,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,EquipmentType,0,100,0,6,0,20,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,PickMethod,0,100,0,6,0,20,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,QcStatus,0,91,0,6,0,19,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,ReceiptType,0,100,0,6,0,20,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,LpnStatus,0,91,0,6,0,19,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,TransactionType,0,190,0,6,0,30,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,KitWorkOrderStatus,0,100,0,6,0,20,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,OrderStatus,0,154,0,6,0,26,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,CartonStatus,0,100,0,6,0,20,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,StorageRequirements,0,100,0,6,0,20,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,AdjustmentReasonCode,0,127,0,6,0,23,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,InventoryStatus,0,118,0,6,0,22,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,ShipmentStatus,0,118,0,6,0,22,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,PurchaseOrderStatus,0,109,0,6,0,21,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,CycleCountType,0,100,0,6,0,20,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.core.enums,WaveStatus,0,100,0,6,0,20,0,10,0,7
QBit WMS,com.kingsrook.qbits.wms.tasks.completion,TaskCompletionDispatcher,74,0,2,0,15,0,5,0,4,0
QBit WMS,com.kingsrook.qbits.wms.tasks.completion,MoveTaskCompletionHandler,137,0,4,0,26,0,5,0,3,0
QBit WMS,com.kingsrook.qbits.wms.tasks.completion,CountTaskCompletionHandler,465,0,40,0,100,0,26,0,6,0
QBit WMS,com.kingsrook.qbits.wms.tasks.completion,AbstractTaskCompletionHandler,332,0,14,0,72,0,11,0,4,0
